id = 999
editor = JSAG

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2025
reference = arXiv:9999.99999
inspiretex = Alvarado:2026saf


### Scattering Process

frame = Trento

in1particle = em
in1energy = 10.6
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 


### x-axes

x1name = Q2
x1unit = GeV^2
x1value = column1

x2name = xB
x2unit = 1
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2026 ALU
#                               error
# Q2    xB    -t   phi  ALU   stat  syst
#########################################
1.191 0.088 0.791671 14.0 0.0172 0.0070 0.0005
1.254 0.090 0.593553 32.9 0.0599 0.0050 0.0018
1.262 0.088 0.540689 52.6 0.0890 0.0100 0.0032
1.230 0.092 0.641006 75.9 0.0431 0.0324 0.0112
1.241 0.097 0.658011 99.9 0.1103 0.0744 0.0150
1.277 0.092 0.558194 125.2 0.1516 0.0494 0.0185
1.290 0.091 0.550847 147.0 -0.0598 0.0389 0.0115
1.253 0.092 0.568924 168.6 0.0505 0.0338 0.0172
1.235 0.096 0.573255 190.0 0.0250 0.0448 0.0146
1.255 0.093 0.588943 213.6 -0.0878 0.0586 0.0304
1.263 0.088 0.598909 237.1 -0.1059 0.0506 0.0226
1.284 0.091 0.551066 259.6 -0.0570 0.0411 0.0091
1.245 0.098 0.576296 281.9 -0.1718 0.0272 0.0148
1.266 0.087 0.522742 307.4 -0.0848 0.0101 0.0023
1.257 0.090 0.5941 327.1 -0.0570 0.0050 0.0022
1.189 0.087 0.791467 346.0 -0.0276 0.0070 0.0008
1.156 0.111 0.301798 14.6 0.0672 0.0097 0.0037
1.250 0.097 0.318911 34.7 0.1231 0.0054 0.0036
1.266 0.087 0.313492 53.3 0.1344 0.0076 0.0042
1.239 0.081 0.302892 73.6 0.1258 0.0225 0.0048
1.265 0.101 0.305329 104.3 0.2156 0.0578 0.0061
1.271 0.095 0.309914 125.1 0.1276 0.0336 0.0039
1.260 0.094 0.312178 146.8 0.0619 0.0246 0.0075
1.250 0.095 0.312351 168.6 -0.0181 0.0240 0.0045
1.238 0.097 0.313319 189.7 -0.0748 0.0342 0.0033
1.230 0.098 0.316167 212.3 -0.0213 0.0536 0.0113
1.258 0.090 0.326054 237.9 -0.1121 0.0442 0.0035
1.236 0.095 0.324278 259.4 -0.1197 0.0344 0.0042
1.237 0.089 0.311131 284.5 -0.1738 0.0189 0.0051
1.262 0.088 0.313637 306.6 -0.1375 0.0076 0.0042
1.249 0.097 0.318631 325.3 -0.1227 0.0054 0.0040
1.155 0.111 0.301719 345.5 -0.0754 0.0097 0.0043
1.216 0.107 0.204032 12.0 0.0464 0.0070 0.0015
1.263 0.097 0.206819 34.1 0.1210 0.0058 0.0034
1.263 0.087 0.206377 54.0 0.1480 0.0072 0.0042
1.248 0.082 0.202684 75.1 0.1468 0.0157 0.0044
