id = 999
editor = JSAG

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2025
reference = arXiv:9999.99999
inspiretex = Alvarado:2026saf


### Scattering Process

frame = Trento

in1particle = em
in1energy = 10.6
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 


### x-axes

x1name = Q2
x1unit = GeV^2
x1value = column1

x2name = xB
x2unit = 1
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = FTn
x4unit = 1
x4value = column4

### Data
table=
#
#  CLAS 2026 ALU FTn
#Q2  xB  tm  FTn  Cn  Cn_stat  Cn_sys
#########################################
Q2 xB t FTn Cn Cn_stat Cn_sys
1.2408 0.0894 0.6326 -1 0.1055 0.0133 0.0178
1.2391 0.0962 0.3142 -1 0.1483 0.0146 0.0087
1.2489 0.0966 0.2058 -1 0.1783 0.0114 0.0096
1.2625 0.0950 0.1428 -1 0.1846 0.0107 0.0094
1.2671 0.0927 0.0924 -1 0.1796 0.0064 0.0081
1.2569 0.0897 0.0537 -1 0.1586 0.0051 0.0077
1.2073 0.0844 0.0216 -1 0.1292 0.0031 0.0062
1.2618 0.1441 0.6211 -1 0.0908 0.0138 0.0192
1.3261 0.1354 0.3246 -1 0.2064 0.0197 0.0194
1.3821 0.1332 0.2105 -1 0.2099 0.0175 0.0278
1.3673 0.1375 0.1441 -1 0.2712 0.0161 0.0252
1.3226 0.1412 0.0927 -1 0.2638 0.0101 0.0152
1.3075 0.1413 0.0539 -1 0.2348 0.0097 0.0117
1.3158 0.1361 0.0290 -1 0.2225 0.0086 0.0117
1.3043 0.2013 0.6902 -1 0.0549 0.0118 0.0167
1.2811 0.2191 0.3190 -1 0.0754 0.0150 0.0240
1.2836 0.2171 0.2059 -1 0.1331 0.0166 0.0368
