id = 999
editor = JSAG

### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2025
reference = arXiv:9999.99999
inspiretex = Alvarado:2026saf


### Scattering Process

frame = Trento

in1particle = em
in1energy = 10.6
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 


### x-axes

x1name = Q2
x1unit = GeV^2
x1value = column1

x2name = xB
x2unit = 1
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2026 ALU
#                               error
# Q2    xB    -t   phi  ALU   stat  syst
#########################################
1.278 0.098 0.0922435 11.4 0.048 0.005 0.002
1.276 0.093 0.0926479 33.7 0.1204 0.0049 0.0036
1.256 0.088 0.0927934 54.8 0.1513 0.006 0.0047
1.24 0.086 0.0914934 76.8 0.1546 0.0094 0.0044
1.223 0.091 0.0899902 99.9 0.1733 0.0156 0.0049
1.247 0.098 0.091153 124 0.1697 0.0177 0.0063
1.252 0.098 0.0926688 146.4 0.1123 0.0173 0.0039
1.256 0.098 0.0924089 168.6 0.0681 0.0172 0.002
1.242 0.098 0.0916615 190.2 -0.011 0.0207 0.0021
1.233 0.101 0.0909255 212.4 -0.1365 0.0301 0.0041
1.186 0.093 0.0871016 236.1 -0.1396 0.0375 0.0074
1.218 0.081 0.089084 262 -0.1542 0.0209 0.008
1.245 0.084 0.091656 283.6 -0.1785 0.0101 0.0051
1.259 0.087 0.0928811 305.2 -0.1517 0.006 0.0045
1.279 0.093 0.0927897 326.4 -0.1086 0.005 0.0034
1.277 0.098 0.0922188 348.6 -0.0452 0.005 0.0015
1.276 0.093 0.0537659 11.2 0.0428 0.0049 0.0017
1.264 0.09 0.0539846 33.5 0.096 0.0051 0.0029
1.243 0.087 0.0538814 55.1 0.136 0.0062 0.0042
1.231 0.086 0.053452 77.4 0.1551 0.0087 0.0052
1.215 0.088 0.0528712 100 0.148 0.0127 0.0046
1.211 0.094 0.0527076 123.1 0.1495 0.0163 0.0058
1.203 0.097 0.0531777 145.9 0.094 0.0182 0.0034
1.214 0.098 0.05355 168.7 0.0676 0.0191 0.0057
1.216 0.097 0.0533992 190.7 -0.0408 0.0208 0.0018
1.211 0.096 0.0524483 213.5 -0.075 0.0242 0.0045
1.206 0.088 0.0517624 237.2 -0.1318 0.0231 0.0073
1.224 0.083 0.0523878 260.8 -0.1459 0.0149 0.0066
1.246 0.084 0.0534169 282.8 -0.1537 0.0091 0.0048
1.25 0.086 0.0540254 304.9 -0.1294 0.0064 0.0037
1.266 0.089 0.0540028 326.6 -0.1007 0.0051 0.0029
1.276 0.093 0.0538011 348.7 -0.0365 0.0049 0.0013
1.218 0.085 0.023014 11.1 0.0214 0.0039 0.0007
1.212 0.084 0.0228212 33.3 0.0795 0.0042 0.0032
1.205 0.084 0.0220367 55.6 0.0999 0.0049 0.0037
1.2 0.084 0.0208958 77.9 0.1273 0.006 0.0045
1.194 0.084 0.0197295 100.5 0.1296 0.0074 0.0039
1.183 0.085 0.0187564 123.1 0.108 0.0091 0.0054
1.183 0.086 0.0183201 145.9 0.098 0.0102 0.0037
1.179 0.087 0.0179194 168.6 0.0367 0.0111 0.0049
1.181 0.086 0.0176152 191.4 -0.0342 0.0112 0.0021
1.184 0.085 0.017227 214.1 -0.069 0.0106 0.0034
1.192 0.083 0.017691 236.9 -0.1057 0.0094 0.0036
1.197 0.082 0.0189168 259.6 -0.1198 0.0076 0.0037
1.207 0.083 0.0205811 282.1 -0.1256 0.0061 0.0047
1.211 0.084 0.0219791 304.5 -0.1075 0.005 0.0045
1.213 0.084 0.0227476 326.7 -0.0702 0.0042 0.0025
1.218 0.085 0.0230043 348.9 -0.0275 0.004 0.001
1.329 0.14 0.0941872 11 0.0528 0.0118 0.0035
1.302 0.143 0.0929594 33 0.1434 0.014 0.0094
1.302 0.143 0.0916552 55.8 0.2333 0.0171 0.0114
1.315 0.142 0.0916004 78.4 0.2494 0.0191 0.0073
1.325 0.141 0.09155 101.2 0.2602 0.0208 0.0097
1.334 0.14 0.0921018 123.6 0.1912 0.0221 0.0098
1.333 0.139 0.0925384 145.9 0.1472 0.023 0.0097
1.328 0.14 0.0930723 168.8 0.039 0.0229 0.0031
1.322 0.141 0.0926043 191.1 -0.0285 0.025 0.0079
1.312 0.142 0.0917862 213.1 -0.1499 0.0281 0.0102
1.304 0.143 0.091758 236 -0.208 0.0314 0.0115
1.282 0.145 0.0907367 258.4 -0.3279 0.0359 0.0109
1.281 0.149 0.089232 280.9 -0.2152 0.0373 0.0098
1.273 0.151 0.0882763 304.3 -0.2608 0.0353 0.0191
1.347 0.142 0.0921976 328.6 -0.1295 0.0217 0.0061
1.353 0.138 0.0942449 350 -0.0253 0.0132 0.0021
1.293 0.142 0.0544882 11.4 0.0344 0.0143 0.0039
1.293 0.142 0.054226 33.4 0.152 0.0147 0.0068
1.307 0.141 0.0536681 55.9 0.2562 0.0158 0.0109
1.321 0.141 0.0536443 78.5 0.2095 0.0173 0.0062
1.332 0.14 0.0541966 101 0.2135 0.0192 0.0068
1.332 0.139 0.0539131 123.5 0.1939 0.0205 0.0062
1.336 0.139 0.0541368 145.9 0.0959 0.0223 0.0028
1.327 0.14 0.0540562 168.6 0.0757 0.0228 0.0039
1.319 0.141 0.0538462 190.9 -0.0204 0.0242 0.007
1.317 0.141 0.0536816 213.5 -0.0858 0.0258 0.004
1.307 0.142 0.0535469 236.1 -0.1534 0.028 0.0063
1.3 0.142 0.0531898 258.6 -0.1982 0.0291 0.0123
1.288 0.144 0.0529158 281.6 -0.2698 0.027 0.0081
1.286 0.145 0.0529779 304.3 -0.2239 0.0249 0.0117
1.283 0.144 0.0533467 327.2 -0.1323 0.0202 0.0054
1.295 0.142 0.0543666 349.4 -0.0393 0.0158 0.0028
