Bin	Q2	xB	t	a	stat	sys	b	stat	sys
1	1.24081	0.0894474	-0.632552	0.105397	0.0131669	0.017630283175	-0.0482515	0.173546	0.166847
2	1.23915	0.0961585	-0.314235	0.144359	0.0137798	0.008402271236	-0.322902	0.115214	0.0204976
3	1.24887	0.0966286	-0.205836	0.177771	0.0111657	0.0095630665053	-0.104602	0.119453	0.0301886
4	1.26246	0.0949886	-0.142832	0.1842	0.0105233	0.00940158642	-0.0931303	0.122864	0.0264819
5	1.26709	0.0927404	-0.0923628	0.179616	0.00638762	0.0081248040288	0.00544899	0.0846309	0.0136717
6	1.25692	0.0896877	-0.0537438	0.15848	0.00512859	0.007708720768	-0.0422103	0.0770528	0.0165628
7	1.20731	0.084361	-0.0216175	0.129149	0.0031346	0.0062367601888	0.0210324	0.0621629	0.00051957
8	1.26178	0.144137	-0.62113	0.0794846	0.0112409	0.016502195229	-0.660662	0.0881448	0.068011
9	1.32613	0.135432	-0.324648	0.202308	0.0188151	0.01892034993	-0.279445	0.127438	0.0397976
10	1.38215	0.133238	-0.210512	0.208539	0.017049	0.027650603088	-0.161869	0.128678	0.0701796
11	1.36727	0.13749	-0.144113	0.268926	0.0157101	0.0249976936188	-0.18047	0.0967303	0.00888052
12	1.32256	0.141199	-0.0926597	0.263727	0.0100217	0.0152796566898	-0.0427376	0.0836795	0.00156638
13	1.30746	0.141338	-0.0539046	0.230569	0.0089896	0.0114909594806	-0.264888	0.0857791	0.00976191
14	1.31577	0.136097	-0.029012	0.222485	0.00855442	0.011750634269	0.0189431	0.0929393	0.00211204
15	1.30427	0.201299	-0.690218	0.0469083	0.00900382	0.0142387799235	-0.704731	0.121129	0.0417518
16	1.28113	0.219052	-0.319013	0.0601369	0.0105553	0.0188790175646	-0.803145	0.0859675	0.0400589
17	1.28358	0.217051	-0.205946	0.120172	0.0135242	0.032868484064	-0.591421	0.107822	0.0553936
18	1.2881	0.214041	-0.144072	0.146983	0.0127283	0.018704027699	-0.55265	0.0798159	0.012441
19	1.30619	0.207952	-0.09353	0.171674	0.0108309	0.015798986546	-0.265799	0.105885	0.026488
20	1.29827	0.194517	-0.0562768	0.200779	0.0139367	0.0169892564093	-0.310648	0.103311	0.0247909
21	1.29349	0.178124	-0.0349246	0.233071	0.0386994	0.039807128374	-0.113395	0.310807	0.0475592
22	1.44995	0.292701	-0.64067	0.0410696	0.0113438	0.0324881892192	-0.0689073	0.623218	0.122254
23	1.43103	0.293793	-0.317613	0.0380292	0.0216156	0.03385834749	-0.797878	0.245467	0.169727
24	1.4282	0.292928	-0.207595	0.082323	0.0226635	0.027304481025	-0.276659	0.422967	0.0693715
25	1.42708	0.291526	-0.143839	0.112717	0.0276114	0.031581274494	-0.632198	0.18343	0.0409006
26	1.39997	0.284536	-0.103517	0.157369	0.034511	0.042459887259	0.0459814	0.868062	0.0182601
27	1.71518	0.111899	-0.657521	0.128719	0.0138005	0.0082693075889	0.1	0.725522	0.002
28	1.70767	0.112844	-0.31522	0.165363	0.0255616	0.014534911611	-0.266272	0.192624	0.0566335
29	1.7015	0.113315	-0.205659	0.169989	0.0308714	0.0136639028079	-0.207915	0.247415	0.0508498
30	1.70104	0.1134	-0.142329	0.221941	0.0134105	0.011390677943	0.1	1.08391	0.0311713
31	1.70605	0.113198	-0.0922039	0.169925	0.0175285	0.00704978043	-0.140776	0.173134	0.00514289
32	1.7086	0.112309	-0.0540281	0.168347	0.0102102	0.007893622483	0.1	1.02153	0.002
33	1.7067	0.111271	-0.0258306	0.142122	0.00999318	0.0111526117962	0.0485629	0.136237	0.012398
34	1.95646	0.143742	-0.602452	0.15573	0.0132292	0.01627082613	-0.0330338	0.115688	0.0676426
35	1.96139	0.144314	-0.312518	0.193718	0.0132287	0.0112426953352	-0.12249	0.0936819	0.0235386
36	1.98162	0.141497	-0.206491	0.231393	0.0118017	0.008682790932	0.1	0.0439155	0.002
37	1.99027	0.139145	-0.143732	0.221111	0.0117913	0.0082465779671	0.1	0.0277394	0.002
38	1.98572	0.138016	-0.0940664	0.206153	0.00836636	0.0085733878875	0.1	0.0247838	0.002
39	1.97363	0.137151	-0.0547984	0.18149	0.00817552	0.009193121864	0.1	0.0410834	0.002
40	1.95149	0.134832	-0.0298566	0.153965	0.00822881	0.0068979553265	0.1	0.683309	0.002
41	2.01326	0.199761	-0.624148	0.162761	0.0171775	0.083449843354	-0.335605	0.127512	0.314463
42	2.07553	0.199154	-0.32262	0.267477	0.0145771	0.072380346108	-0.0732012	0.0989397	0.145461
43	2.04287	0.209185	-0.206959	0.313612	0.0128477	0.033283327948	-0.105003	0.086686	0.0317245
44	2.01203	0.210783	-0.14335	0.272982	0.011015	0.0199540014648	-0.0823241	0.0836161	0.0335261
45	2.00551	0.207178	-0.0935026	0.264122	0.00833551	0.014075853746	0.0114114	0.0720879	0.0074513
46	2.00762	0.192145	-0.0560235	0.239322	0.0099282	0.012583072116	0.00607923	0.0880493	0.0940153
47	1.99383	0.177474	-0.0349947	0.201438	0.02826	0.021194903484	0.1	0.786895	0.002
48	1.98955	0.315394	-0.701377	0.0522704	0.0121068	0.0414714921712	-0.847636	0.0947731	0.174344
49	1.99845	0.324415	-0.319483	0.11465	0.0126343	0.04799077025	-0.646008	0.0869342	0.0142931
50	1.99736	0.320019	-0.208023	0.13379	0.0140401	0.03140653355	-0.481302	0.122261	0.0462438
51	1.9852	0.304241	-0.145645	0.140971	0.0193581	0.035105867159	-0.424457	0.160872	0.0227018
52	1.98426	0.285612	-0.105409	0.110593	0.0290939	0.031186009477	-0.597708	0.245249	0.0185461
53	2.52167	0.161734	-0.62847	0.114675	0.0331531	0.0231629739	-0.24304	0.288667	0.152344
54	2.50576	0.163024	-0.311474	0.146169	0.036539	0.0080233333452	-0.467434	0.211332	0.00949502
55	2.50679	0.163018	-0.204702	0.242814	0.0354752	0.018598823958	-0.0165976	0.191704	0.035444
56	2.51126	0.162184	-0.143405	0.229294	0.0255287	0.0135930298374	0.1	0.0531879	0.002
57	2.5066	0.162027	-0.0943112	0.158981	0.023096	0.0103750205695	0.1	0.732972	0.002
58	2.50877	0.16162	-0.0558481	0.160393	0.0470001	0.0085206856534	-0.216549	0.323593	0.0086529
59	2.50609	0.158068	-0.0321536	0.0840993	0.059577	0.0621783969585	-0.637574	0.396216	0.127852
60	2.80106	0.207009	-0.601372	0.212243	0.0124294	0.032623447044	0.0445946	0.0923236	0.0753329
61	2.80245	0.199492	-0.316346	0.258202	0.0118599	0.0177384257596	0.1	0.768957	0.0053242
62	2.80512	0.197754	-0.207994	0.26513	0.0122617	0.012582645592	0.1	0.0574664	0.002
63	2.80299	0.19918	-0.144638	0.249156	0.0118836	0.01210212981	0.1	0.0259213	0.002
64	2.79143	0.203181	-0.0952426	0.224975	0.00933796	0.00977525374	0.1	0.135699	0.002
65	2.76352	0.193353	-0.0575354	0.172189	0.0132876	0.0092053100345	0.1	0.104486	0.002
66	2.75221	0.177385	-0.035	0.0178548	0.0110914	0.0031613173236	-1	0.00416502	0.02
67	2.80791	0.339601	-0.677624	0.152257	0.014275	0.092401271389	-0.473529	0.108946	0.0962202
68	2.80954	0.341005	-0.315642	0.22883	0.0169235	0.06040013616	-0.441575	0.0960821	0.0387887
69	2.81772	0.320884	-0.208168	0.261494	0.015209	0.0217803059492	-0.128861	0.107032	0.00893601
70	2.8155	0.301571	-0.146008	0.169611	0.017034	0.019952020374	-0.14615	0.198377	0.0144057
71	2.81653	0.283734	-0.106308	0.198449	0.0276851	0.024054201739	0.0113991	0.216349	0.029434
74	3.61882	0.241604	-0.586319	0.21191	0.0175299	0.015006109976	0.0465848	0.11773	0.0299542
75	3.61323	0.237575	-0.320574	0.207029	0.019514	0.0155987656282	0.0602886	0.126388	0.0298732
76	3.58375	0.233954	-0.210126	0.212261	0.0189009	0.0138469949177	0.1	0.0756193	0.002
77	3.55691	0.233055	-0.144985	0.208163	0.0207547	0.0125597435843	0.1	0.0722347	0.002
78	3.52949	0.23428	-0.0970854	0.179384	0.0184868	0.0126619452088	0.0309226	0.171824	0.0104796
79	3.42311	0.221124	-0.0614259	0.106482	0.0462285	0.016149166602	0.1	1.02005	0.002
